#,Address,OP,Points,Alpha Gal,Ape Warrior Redux,Base of Bored,Bored 101,Bored Council,Bored Survivors,Bored Town,Bored WOW,Catens,Faceless Portraits,Faceless Totz,Mangmoom,MONO is Bored,Nova Ape,NovaNaut,Robonaut,RoboSkull,The Vintract,Zkalien
55,0xD7efAE6e8e0556eBb5E77A499a34FCe6a4D8c722,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xDBc431A22eB00B0A552198034717D7563f69945C,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xDb01feDf75c733A46aE97676445b6180d8826455,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xE6443C59CE11DA3a8E47ed81f11eBFEf379C0117,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xE6468262b5a34057676586dc1976DE5f664b7083,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xEaBdF7D6ADaB860A0fC332352c83EcaBD304D176,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xEe47086E3f4E934b38eeD62389874aF9A250dcA7,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xF2B8B57A72F7eCF3b5CA7a338C512Ec969A71FC8,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xF5Ca1b4F227257B5367515498B38908d593E1EBe,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xFB5A4B30ee34a9654418bBEa5dA64378207A5091,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xFc840AF78A496B52E378DfA94838402e1b7F71DD,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xFdc3E8eDd74A90fe971EF7d56a0C66c870b10F5D,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xa4Fd5F2d9A416AC45EfFd3B953ADad5dE9BDfc90,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xa68f519e187d08F6baBEFA4425eB45c6906CA80f,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xaA48eB66F03bD1052c9D238e0a21d2349B060Cb0,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xaE244b7bAEF1fbd69a9303F2095aF13A930304F9,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
